Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
2550000,0.403074,0.5497211,0.085676126,0.013721612,0.069466144,0.0002239713,0.17465709,0.007468243,0.030509744,0.0213138,348.4886363636364,1.6060431632636623,1.6060431632636623,0.21965764900232898,1.0
2580000,0.37888238,0.6863805,0.08638667,0.012010972,0.07010945,0.00022305376,0.17435125,0.0074376888,0.025096318,0.021897899,289.8224299065421,1.6550320628679023,1.6550320628679023,0.15313031624580892,1.0
2610000,0.34700078,0.67296416,0.08103048,0.011740665,0.06578165,0.00022212994,0.17404328,0.0074069253,0.02626937,0.02203517,301.7659574468085,1.6756568195004211,1.6756568195004211,0.16921353956292334,1.0
2640000,0.3769857,0.6304769,0.09366336,0.01183751,0.06529333,0.00022123975,0.17374657,0.0073772823,0.026642838,0.01916456,313.87628865979383,1.6219791489032407,1.6219791489032407,0.17113563175371382,1.0
2670000,0.3611432,0.73134494,0.09184131,0.011841529,0.07007934,0.00022034871,0.17344956,0.007347611,0.028317576,0.022102831,302.60869565217394,1.6344107354200015,1.6344107354200015,0.18316215721099208,1.0
2700000,0.37802026,0.5968256,0.06907391,0.01199114,0.07008407,0.0002194394,0.17314646,0.007317331,0.028926259,0.023977568,351.7912087912088,1.516303280716414,1.516303280716414,0.20515030792499842,1.0
2730000,0.34479213,0.7381004,0.06761274,0.013552104,0.068241015,0.00021852965,0.17284322,0.0072870357,0.030912472,0.024954705,279.9626168224299,1.7013420374872528,1.7013420374872528,0.18011576295003434,1.0
2760000,0.33893606,0.69232,0.084338166,0.012492227,0.07183751,0.00021763913,0.17254636,0.007257381,0.031029433,0.023700425,281.0377358490566,1.6987866509528387,1.6987866509528387,0.18768838122043582,1.0
2790000,0.37146586,0.6783396,0.073674366,0.0126811545,0.06915254,0.0002167542,0.17225139,0.007227913,0.02529781,0.021540007,302.0833333333333,1.6993505029948717,1.6993505029948717,0.1579750059856601,1.0
2820000,0.29130656,0.76436067,0.100830354,0.013572427,0.06525038,0.00021586272,0.17195423,0.007198227,0.024410943,0.01934224,271.9826086956522,1.7106173756977787,1.7106173756977787,0.1360321716628159,1.0
2850000,0.27858427,0.63420266,0.113072366,0.012943764,0.06863757,0.00021494646,0.1716488,0.007167716,0.023128921,0.015342008,305.125,1.6115187290124595,1.6115187290124595,0.14517293564373782,1.0
2880000,0.27314973,0.6681291,0.0899494,0.014939471,0.06840099,0.00021403283,0.17134428,0.0071372916,0.025226573,0.017305207,289.50961538461536,1.7104903617157385,1.7104903617157385,0.15574640350734206,1.0
2910000,0.26241714,0.7109131,0.08698676,0.014023828,0.070264615,0.0002131434,0.17104779,0.007107674,0.022980954,0.020038871,289.8349514563107,1.6324776529687122,1.6324776529687122,0.13912890911513703,1.0
2940000,0.2549893,0.71088004,0.07058195,0.013810175,0.06751868,0.000212257,0.17075232,0.0070781563,0.023694674,0.018400189,273.302752293578,1.7266972365729305,1.7266972365729305,0.13434683514594467,1.0
2970000,0.26874825,0.6831949,0.10464904,0.01214052,0.0707597,0.00021137121,0.17045705,0.0070486595,0.021831838,0.015061521,276.64814814814815,1.6482336260030204,1.6482336260030204,0.1259969622157862,1.0
3000000,0.23132356,0.8092694,0.15035819,0.01113317,0.070257895,0.00021045526,0.17015176,0.0070181587,0.021874918,0.014166195,258.52252252252254,1.7235225049090814,1.7235225049090814,0.11624493862099543,1.0
3030000,0.2508266,0.74297047,0.11530021,0.013819829,0.07010341,0.00020953469,0.1698449,0.0069875056,0.022410944,0.016667005,275.86607142857144,1.68895751264243,1.68895751264243,0.12738298432720183,1.0
3060000,0.24119125,0.7387233,0.09915305,0.0133630885,0.070563436,0.00020864556,0.16954851,0.0069578956,0.022631858,0.014490454,270.2972972972973,1.6936594459924612,1.6936594459924612,0.13078107588204999,1.0
3090000,0.23182505,0.73209846,0.088861935,0.01112145,0.07017592,0.00020775116,0.16925037,0.0069281124,0.018535126,0.012525906,273.61607142857144,1.6713549438360575,1.6713549438360575,0.10301329404837242,1.0
3120000,0.25736007,0.6732192,0.08228566,0.01288114,0.070844725,0.00020685913,0.16895305,0.006898408,0.021675166,0.013350741,305.5208333333333,1.654657715067421,1.654657715067421,0.1383344314118713,1.0
3150000,0.27192152,0.7020074,0.07276517,0.012899784,0.0691864,0.00020594479,0.16864824,0.0068679606,0.022772303,0.016016962,264.125,1.716828818726647,1.716828818726647,0.12620567327768012,1.0
3180000,0.26733026,0.71020126,0.064872645,0.014087378,0.06760846,0.00020502636,0.1683421,0.0068373764,0.025312966,0.022516344,288.6,1.6372037511670365,1.6372037511670365,0.15143657095767646,1.0
3210000,0.2587576,0.67184716,0.06355114,0.01300181,0.0688669,0.00020413406,0.16804467,0.0068076625,0.024626536,0.01615055,286.3076923076923,1.6752172973580086,1.6752172973580086,0.15082870738562912,1.0
3240000,0.25380027,0.7164527,0.06294512,0.013434604,0.06707711,0.000203247,0.167749,0.0067781247,0.021171046,0.014221163,270.811320754717,1.7103113021068979,1.7103113021068979,0.12018322078225571,1.0
3270000,0.2463872,0.69309807,0.07634996,0.012713261,0.07059614,0.00020236193,0.16745397,0.0067486507,0.019913172,0.010906934,307.1442307692308,1.6351519079449086,1.6351519079449086,0.12735498903762513,1.0
3300000,0.26860872,0.7778269,0.06682856,0.011686529,0.07189868,0.00020145295,0.16715096,0.006718381,0.021308014,0.01309647,260.8421052631579,1.721610514479771,1.721610514479771,0.11331197370523832,1.0
3330000,0.24981406,0.83220875,0.060737573,0.011941574,0.06786121,0.00020053955,0.16684651,0.0066879652,0.020454267,0.011854927,249.4297520661157,1.7327283218502998,1.7327283218502998,0.10733929245131245,1.0
3360000,0.2439625,0.7620087,0.05901487,0.012507527,0.06734917,0.00019964857,0.16654953,0.0066582966,0.020268878,0.013361223,271.1203703703704,1.7120091621892168,1.7120091621892168,0.1147190321347924,1.0
3390000,0.2488073,0.77034426,0.06586943,0.013799631,0.06816325,0.00019876695,0.16625564,0.006628938,0.019813951,0.013251054,252.34710743801654,1.7311189898774644,1.7311189898774644,0.10051677587599886,1.0
3420000,0.2423967,0.7212563,0.06224833,0.012894565,0.07124613,0.00019784851,0.16594951,0.0065983543,0.019477505,0.014272691,283.3644859813084,1.6614490353836204,1.6614490353836204,0.11589476689235044,1.0
3450000,0.22741649,0.7210129,0.07871189,0.014214876,0.066633284,0.00019692899,0.16564299,0.0065677343,0.018156167,0.009779518,247.84347826086957,1.7332982627739166,1.7332982627739166,0.09554955198485725,1.0
3480000,0.21917869,0.7495602,0.072410345,0.011713711,0.06908723,0.00019604465,0.1653482,0.006538286,0.016123328,0.0075100516,264.280701754386,1.706807070007894,1.706807070007894,0.08645578348634154,1.0
3510000,0.22562075,0.77020377,0.063074045,0.011793753,0.068237804,0.00019515865,0.16505288,0.006508781,0.017871654,0.01069062,252.04347826086956,1.7242689489804466,1.7242689489804466,0.09733304270775989,1.0
3540000,0.2132254,0.7865766,0.05447449,0.012478033,0.0664909,0.00019427107,0.16475701,0.0064792247,0.018485406,0.010698232,257.152,1.7326935328423017,1.7326935328423017,0.09494528308465716,1.0
3570000,0.20702784,0.8014255,0.050944608,0.012239794,0.06935151,0.00019335303,0.16445099,0.006448654,0.019334286,0.013115215,228.74590163934425,1.7324650262187167,1.7324650262187167,0.09334049772611266,1.0
3600000,0.19975518,0.79869694,0.058834247,0.012527952,0.07214456,0.00019243163,0.16414389,0.0064179716,0.017463516,0.011106619,256.01666666666665,1.7273133169859647,1.7273133169859647,0.09988148227130296,1.0
3630000,0.20905544,0.7176176,0.057050228,0.012340992,0.072456524,0.00019153941,0.16384648,0.006388261,0.01703502,0.011140356,270.0747663551402,1.7299252132946086,1.7299252132946086,0.09687833670444056,1.0
3660000,0.21880136,0.8255703,0.057803053,0.01100018,0.066492476,0.00019064329,0.16354775,0.006358421,0.014329656,0.007935828,254.172131147541,1.7294294972155915,1.7294294972155915,0.07376874929611747,1.0
3690000,0.23658763,0.73801446,0.057199538,0.012321338,0.06908794,0.00018976143,0.1632538,0.0063290545,0.014956015,0.009472651,281.3240740740741,1.6816203563853547,1.6816203563853547,0.08523580587508925,1.0
3720000,0.22148362,0.7554982,0.0610129,0.01197874,0.07104226,0.00018884335,0.16294776,0.0062984815,0.015701335,0.012139955,246.55371900826447,1.7029883196577429,1.7029883196577429,0.08196592041252491,1.0
